Kód obce;poradie na hlasovacom lístku;meno;priezvisko;titul;vek;povolanie;strany;počet hlasov
509051;5;Jozef;Štajer;;43;vodič;001;234
509060;1;Pavol;Badinský;Ing.;73;dôchodca;106;68
509060;2;Janette;Cimermanová;Mgr.;49;starostka;001;224
509060;3;Róbert;Greško;;29;prevádzkar;116;43
509086;1;Peter;Jenča;Mgr.;52;starosta obce;001;864
509086;2;Marek;Poliak;;45;zásobovač;001;223
509086;3;Pavol;Šmidák;Ing.;55;výsluhový dôchodca;136;169
509094;1;Veronika;Aschenbrierová;Ing. arch.;29;interná doktorandka;001;65
509094;2;Ľuboš;Pokoš;;50;robotník;136;24
509094;3;Vladimír;Pokoš;;54;samostatne zárobkovo činná osoba;106;72
509124;1;Ľuboš;Bartošík;Mgr.;47;podnikateľ;001;201
509124;2;Tomáš;Čopjan;Ing.;39;podnikateľ;116;172
509124;3;Erika;Kollárová;Ing.;49;matrikárka;001;132
509124;4;Anna;Kvoriaková;Mgr.;62;odborná garantka;106;140
509124;5;Vladimír;Šiška;Mgr.;49;právnik;136;219
509132;1;Bohdan;Fidyk;Bc.;48;podnikateľ;001;9
509132;2;Milan;Gura;Ing.;57;primátor mesta;001;1190
509132;3;Peter;Staškovan;;47;logistický  zamestnanec;116;92
509132;4;Matej;Šimášek;JUDr., PhDr., PhD.;36;riaditeľ;106;3962
509132;5;Xénia;Šurhaňáková;Mgr.;44;zástupkyňa primátora mesta;001;29
509132;6;Jozef;Vražel;JUDr., Ing., PhD.;60;manažér;136,125;1110
509132;7;Peter;Zverec;;30;konateľ spoločnosti;001;760
509159;1;Rastislav;Jurga;Bc.;38;podnikateľ;001;95
509159;2;Zuzana;Moravcová;Mgr., PhD.;41;vedúca zmeny nákladnej prepravy;001;173
509159;3;Peter;Najdek;Mgr.;43;pedagóg;001;805
509159;4;Peter;Staňo;Ing.;49;živnostník;001;826
509167;1;Helena;Dzurinová;;61;starostka;106,136,132;237
509167;2;Michal;Koiš;Ing.;36;prevádzkar;125;37
509175;1;Miroslava;Ondreášová;;49;starostka;106;220
509183;1;Vladislav;Brisuda;;54;robotník;132,111,106;202
509183;2;Jaroslav;Brodek;;53;asistent manažér  správa a údržba budov;001;224
509183;3;Miroslav;Fojtík;;39;projektový manažér;001;24
509183;4;Miroslava;Švaňová;;56;produktová manažérka;001;89
509183;5;Martin;Urban;;32;murár;001;9
509205;1;Marianna;Bugáňová;Bc.;32;nezamestnaná;001;19
509205;2;Vladimír;Ďurika;;39;súkromný podnikateľ;154;55
509205;3;Maroš;Halúska;Bc.;32;projektový manažér/prokurista;001;98
509205;4;Miroslav;Káčerik;;67;starosta obce;106;94
509205;5;Stanislav;Krišica;;38;vedúci tímu vo výrobe;001;237
509205;6;Zuzana;Mičundová;;38;predavačka;125;53
509205;7;Viera Lea;Slivková;Mgr.;57;odborná radkyňa;001;249
509205;8;Stanislav;Zajac;;56;SZČO;001;106
509213;1;Jana;Foldinová;;52;starostka obce;001;355
509213;2;Jana;Horčičáková;Ing.;38;ekonómka vo verejnej správe;001;209
509213;3;Róbert;Vlček;;46;technik lesnej správy;001;127
509213;4;Radoslav;Zajac;Ing.;46;inšpektor bezpečnosti;106,132,111;391
509213;5;Štefan;Želiecký;;26;konštruktér;136,125;31
509221;1;Božena;Poliačková;Mgr.;50;starostka;001;154
509230;1;Marianna;Bebčáková;Ing.;40;starostka;001;737
509248;1;Jozef;Grapa;Ing.;64;primátor mesta;001;1583
509256;1;Matej;Fabšík;Mgr.;37;energetik;001;1182
509256;2;Marian;Mihalda;Ing.;49;primátor;001;4529
509264;1;Milan;Králik;;56;starosta;001;701
509264;2;Lenka;Mizerová;Ing.;48;manažérka;001;238
509264;3;Peter;Ondrejáš;;53;vo výslužbe;001;87
509272;1;Miloš;Belan;;47;operátor výroby;111;105
509272;2;Ján;Fuják;;51;vodič z povolania;001;13
509272;3;Juraj;Gajdoš;;27;živnostník;001;101
509272;4;Janka;Hmirová;;52;opatrovateľka;001;56
509272;5;Ján;Hofer;;55;živnostník;106;17
509272;6;Milan;Hoffer;;51;invalidný dôchodca;001;8
509272;7;Daniela;Minárová;;39;obchodná zástupkyňa;001;65
509272;8;Monika;Tvrdá;;50;samostatná radkyňa;001;147
509281;1;Peter;Harcek;Ing.;54;starosta obce;001;144
509281;2;Anton;Mrmus;;62;technik;111;72
509281;3;Jarmila;Pytlová;Mgr.;56;štátna zamestnankyňa;001;49
509299;1;Stanislav;Gašparík;Ing.;44;manažér;001;539
509299;2;Martin;Pavlík;;52;starosta obce;001;424
509302;1;Róbert;Beleš;;51;SZČO;106;56
509302;2;Zuzana;Jancová;Ing.;50;starostka;001;498
509302;3;Iveta;Komzalová;;43;účtovníčka;116;27
509302;4;Vincent;Nemček;;55;konateľ s.r.o.;128;82
509302;5;Lenka;Ondrušková;Ing.;51;výpravkyňa;001;479
509302;6;Daniel;Ševčík;;49;SZČO;132;29
509302;7;Ľubomír;Tichý;Mgr.;56;skladník-zástupca vedúceho;110;56
509302;8;Ján;Vojtek;Ing.;41;lesník;001;220
509311;1;Jozef;Balačin;Ing.;37;starosta obce;001;305
509311;2;Adriana;Ficková;JUDr.;40;právnička;001;47
509311;3;Jaroslav;Kašuba;Mgr.;41;vedúci oddelenia obchodu;104;17
509311;4;Vladislav;Kuniak;;58;mechanik;001;17
509311;5;Jozef;Kuric;Ing.;45;živnostník, konateľ;001;909
509311;6;Adriana;Šadibolová;;54;zdravotníčka;139;6
509329;1;Anton;Bugáň;Mgr.;47;predseda výboru pozemkového spoločenstva;001;264
509329;2;Radoslav;Ďuroška;;51;starosta obce;136,106,125;658
509329;3;Ľubomír;Piják;;57;vedúci materiálno-technického oddelenia;116;30
509329;4;Marta;Šeptajová;;60;charitatívna sestra;001;79
509337;1;Ladislav;Bobek;;39;riaditeľ sociálneho podniku;106;144
509337;2;Anton;Dočár;Ing.;45;stavbyvedúci;001;527
509337;3;Daniel;Korený;Ing.;49;podnikateľ;001;76
509345;1;Marián;Plevko;Ing. ;43;starosta ;001;1067
509361;1;Ján;Opial;JUDr.;39;starosta obce;106,132;323
509361;2;Ladislav;Šupola;;49;montér;001;262
509370;1;Vladislav;Donát;JUDr.;45;príslušník Policajného zboru;001;279
509370;2;Alena;Dudeková;PhDr., MBA;37;starostka;106;355
509396;1;Dominik;Brandys;;30;profesionálny vojak;001;72
509396;2;Kristína;Gunčagová;Mgr.;36;učiteľka;111;75
509396;3;Simona;Lutišanová Matejčíková;Mgr.;26;samostatná odborná referentka;001;257
509396;4;Jaroslav;Skaličan;;29;montér;136;59
509400;1;Anton;Heglas;Mgr.;46;starosta obce;001;1397
509400;2;Janka;Hnidková;Mgr.;55;pedagogička;108;45
509400;3;Miroslav;Mariak;JUDr.;51;referent vnútorného oddelenia;001;642
509426;1;Peter;Bača;;40;nastavovač strojov a zariadení - sústružníckych;001;311
509426;2;Ján;Garbier;Ing.;58;projektový manažér;136,106,125;231
509426;3;Marián;Hutyra;PhDr.;41;teamleiter - vedúci tímu;001;321
509434;1;Slavka;Koptáková;Ing.;47;odborná referentka;001;103
509434;2;Pavol;Masarik;Ing.;59;živnostník;001;55
509434;3;Anna;Várošová;;65;ekonómka;136,132;38
509442;1;Lenka;Purašová;;47;účtovníčka obce;001;396
509442;2;Roman;Špirec;Ing.;49;obchodný zástupca;110;78
509451;1;Jozef;Cech;PaedDr.;40;starosta;106,136,132;1253
509469;1;Ján;Cesnek;;42;robotník;154;103
509469;2;Milan;Hlavatý;MVDr.;52;starosta obce;136,106,132;470
509477;1;Ján;Podmanický;PhDr., JUDr., PhD.;45;starosta obce, poslanec NR SR;136,106,132;889
509485;1;Peter;Koper;;61;majster strediska;001;46
509485;2;Martina;Laufiková;Bc.;50;asistentka riaditeľa;111;127
509485;3;Ladislav;Šimčisko;Ing.;56;starosta obce;001;950
509493;1;Štefan;Bajánek;;44;nastavovač a obsluha kovoobrábacích strojov a vodič kamiónu;001;32
509493;2;Ján;Cyprich;;42;podnikateľ;001;355
509493;3;Stanislav;Cyprich;DiS.art;54;učiteľ základnej umeleckej školy;001;65
509493;4;Renáta;Majchráková;Mgr.;53;starostka obce;001;832
509493;5;Pavol;Stráňava;;49;invalidný dôchodca;141;31
509493;6;Peter;Šimčisko;PhDr.;51;obchodný zástupca;001;303
509507;1;Ľubomír;Golis;JUDr.;59;primátor;106,132;1520
509507;2;Mariana;Chylík Riboňová;JUDr.;43;výsluhová dôchodkyňa;125,136;180
509507;3;Kamil;Kobolka;Mgr.;52;učiteľ;139;767
509507;4;Štefan;Kompánek;Mgr.;43;finančný sprostredkovateľ;152;248
509515;1;Anton;Varecha;Mgr.;46;starosta obce;001;730
509523;1;František;Hažík;Ing.;59;samostatný špecialista tratí a stavieb;106,132;324
509523;2;Jaroslav;Roman;JUDr.;46;výsluhový dôchodca;125,136;32
509523;3;Ján;Slaninák;;49;starosta obce;001;452
509531;1;Juraj;Hlavatý;PaedDr.;42;starosta obce;001;865
509540;1;Ján;Prílepok;Ing.;43;primátor mesta;001;5224
509540;2;Jozef;Slosarčík;;42;kominár;116;652
509558;1;Martin;Matys;Bc.;43;starosta obce;001;552
509558;2;Jozef;Vraňák;;50;vodič;001;196
509566;1;Jaroslav;Pepucha;;39;starosta obce;111;388
509582;1;Anton;Grobarčík;JUDr.;35;vyšší súdny úradník;001;341
509582;2;Andrej;Namislovský;Mgr.;36;referent obecného úradu;001;389
509582;3;Jozef;Slovík;JUDr.;53;vedúci správy ciest;001;247
509591;1;Marek;Kramarčík;Ing., PhD.;41;pedagóg;001;140
509591;2;Ladislav;Matejčík;Ing.;54;starosta;001;627
509604;1;Jozef;Hucík;;45;operátor;001;20
509604;2;Milan;Kaník;;51;konateľ;125;101
509604;3;Peter;Krnáč;;33;nezamestnaný;001;52
509604;4;Lucia;Števaňáková;Ing.;35;obchodná zástupkyňa;001;195
509604;5;Andrej;Ujmiak;Ing.;27;ekonóm;111;405
509639;1;Karol;Bednár;Mgr.;48;ŽSR-Bratislava-výpravca;001;83
509639;2;Ján;Kamas;Ing.;50;starosta obce;001;412
509639;3;Vladimír;Pánik;Bc.;41;manažér;001;169
509655;1;Alojz;Lajčin;JUDr.;52;starosta;001;470
509655;2;Silvia;Letoštiaková;Ing.;29;hlavná kontrolórka obce, živnostníčka;001;243
509663;1;Marián;Brnušák;PhDr.;54;starosta;001;363
509671;1;Jozef;Mäsiar;;55;starosta obce;132;228
509680;1;Michal;Kompan;;32;vodič;132;6
509680;2;Jozef;Šalata;;49;hospodár zariadenia sociálnych služieb;001;584
509680;3;František;Škapec;Mgr.;59;starosta obce;111;831
509698;1;Alojz;Meľo;;44;SZČO;001;264
509698;2;Anton;Staš;Ing.;58;starosta;001;381
509701;1;Lýdia;Fačková;Bc.;54;starostka obce;001;257
509701;2;Martin;Kováčik;;42;vedúci predajne;001;436
509710;1;Miriama;Drengubiaková;Mgr.;38;matrikárka;001;106
509710;2;Paulína;Škradová;Mgr.;27;obchodná referentka;001;128
509710;3;Ľuboslava;Zeleňáková;Bc.;46;ekonómka;106;19
509728;1;Daniel;Gura;;59;živnostník;001;37
509728;2;Peter;Luka;Ing.;41;ekonóm;001;221
509728;3;Karol;Revaj;;46;starosta;132,136,106;838
509744;1;Ľuboš;Palovič;;32;starosta obce;001;188
509761;1;Juraj;Leginus;Bc.;52;starosta obce;141;386
509761;2;Ondrej;Mokošák;;31;konateľ;154;59
509779;1;Jozef;Dorušák;;47;živnostník;111;283
509779;2;Terézia;Pacoňová;Mgr.;63;starostka obce;001;265
509787;1;Miroslav;Kovalčík;;49;starosta;136;26
509787;2;Matej;Michna;Mgr.;32;projektový manažér;001;146
509795;1;Peter;Červeň;;40;konateľ firmy;119;187
509795;2;Milan;Volf;;49;manažér kamiónovej dopravy;111;967
509809;1;Patrik;Kubolek;;36;team leader IT telekomunikácií;106;189
509809;2;Miroslav;Valčičák;Ing.;58;starosta;111;760
509817;1;Peter;Grajciar;;44;živnostník;001;96
509817;2;Jozef;Kresťan;;56;starosta;001;167
509817;3;Vladimír;Ľuba;Ing.;60;finančný manažér;111;266
509825;1;Tatiana;Červeňová;Bc.;38;ekonómka;106;135
509825;2;Michal;Kramár;;41;SZČO;001;112
509825;3;Andrej;Slušňák;;38;SZČO;001;75
509825;4;Anna;Slušňáková;Mgr.;41;učiteľka;111;113
509833;1;Michal;Janota;Mgr.;65;starosta obce;111;239
509833;2;Jana;Šaligová;Ing., Ing.;39;živnostníčka;106;44
509850;1;Ján;Bugaj;Ing.;38;prednosta obecného úradu;001;249
509850;2;Marián;Murín;;55;starosta obce;001;778
509850;3;Anton;Pjontek;;43;mechanik;110;563
509868;1;Mária;Červeňová;Mgr.;37;odborná garantka komunitného centra;001;858
509868;2;Andrea;Ferletjaková;;46;podnikateľka;001;118
509868;3;Milan;Hubík;;61;primátor;001;605
509868;4;Ján;Kadera;Ing.;65;súdny znalec;136,106,125,132;1618
509868;5;Jozef;Parížek;PhDr.;55;živnostník;001;122
509876;1;Jaroslav;Rosina;Ing.;58;starosta obce;001;1179
509876;2;Jana;Tuhá;Ing.;41;odborná komunitná pracovníčka;001;757
509884;1;Dušan;Jendrašík;Ing.;34;prednosta mestského úradu;001;1190
509884;2;Radoslav;Kozák;Mgr., PhD.;37;starosta obce;111;672
509892;1;Karol;Graňák;Ing.;56;starosta obce;111;667
509892;2;Marián;Graňák;Ing.;38;konateľ s.r.o.;106;187
509906;1;Marek;Majdiš;JUDr., PhD.;37;starosta obce;001;1070
509906;2;Ľuboslava;Turoňová;;33;starostlivosť o dieťa do 6 rokov;116;41
509906;3;Veronika;Vorčáková;Ing.;38;štátna zamestnankyňa;001;799
509914;1;Michal;Strnál;Ing.;38;starosta obce;111;1374
509914;2;Valéria;Štefaňáková;;37;živnostníčka;107;74
509922;1;Mária;Babiaková;Bc.;57;ekonómka;001;432
509922;2;Maroš;Badáň;Ing.;46;prednosta mestského úradu;135,111;161
509931;1;Albín;Maslaňák;Ing.;64;starosta obce;111;1019
509931;2;Ján;Romaňák;Ing.;38;vedúci výroby;001;285
509949;1;Jozef;Hamaň;Ing.;50;starosta;001;275
509949;2;Ján;Kaššák;Mgr.;59;prednosta okresného úradu;001;157
509957;1;Michal;Harezník;;44;manager;106;239
509957;2;Dušan;Svýba;;49;SZČO;142;123
509957;3;Jozef;Záhora;Mgr.;61;starosta;001;314
509965;1;Miroslav;Jurák;;35;starosta obce;001;58
509973;1;Ján;Hančiak;;60;starosta obce;001;349
509973;2;Jozef;Jankovič;;46;vodič;132;28
509973;3;Martin;Matiašovský;;47;vodič;001;65
509973;4;Adriana;Obrinová;Mgr.;46;ekonómka;106;75
509973;5;Tatiana;Valková;;35;sanitárka;136;4
509981;1;Miroslav;Bulla;Ing.;49;hlavný kontrolór;001;159
509981;2;Patrícia;Korčušková;Mgr.;47;referentka;001;279
509981;3;Ján;Sitek;Ing.;66;dôchodca;001;355
509990;1;Miroslav;Lupták;Ing.;62;starosta obce;141;46
510009;1;Rastislav;Suroviak;Bc.;34;starosta obce;111;143
510017;1;Metod;Sojčák;Ing.;46;starosta;001;290
510025;1;Pavol;Kobyliak;;60;konateľ s.r.o.;128;467
510025;2;Július;Piták;Ing.;53;starosta obce;001;1236
510033;1;Jozef;Bandík;;46;policajt;001;143
510033;2;Ľubomír;Bublák;;54;živnostník;111;267
510033;3;Ján;Mordel;Mgr.;48;konateľ s.r.o.;154;77
510033;4;Jozef;Turac;Ing., PhD., MBA, LL.M;60;živnostník;132,136,125;190
510033;5;Gabriel;Vons;Mgr.;47;právnik;106;272
510041;1;Ladislav;Tomáň;Mgr.;60;starosta;141;197
510050;1;Jozef;Brišák;;55;stavbyvedúci;106;205
510050;2;Anna;Laššáková;Ing.;27;vedúca pozemkového oddelenia;001;113
510050;3;Ľubomír;Piták;Mgr.;41;starosta obce;111;474
510076;1;Jozef;Kovalik;Ing.;41;štátny zamestnanec;111;568
510076;2;Miroslav;Pavlovič;;61;živnostník;106;72
510084;1;Anton;Bendek;;39;nezamestnaný;001;34
510084;2;Róbert;Kakačka;Ing.;42;živnostník;111;272
510084;3;Jozef;Pindiak;Mgr.;43;štátna služba;001;95
510092;1;Pavol;Bugaj;;63;starosta;136;213
510092;2;Marek;Jančiga;;37;vedúci technikov výroby;001;138
510092;3;František;Múdry;;41;invalidný dôchodca;111;76
510106;1;Miloš;Hucík;PhDr.;53;projekt manažér;001;279
510106;2;Jozef;Liss;Mgr.;47;výsluhový dôchodca;001;1165
510106;3;Ľuboš;Stroka;Bc.;38;obchodný zástupca;001;74
510106;4;Magdaléna;Zmarzláková;PhDr., Ing.;45;primátorka mesta;001;1495
510114;1;Lukáš;Lepáček;Bc.;32;pedagóg;001;1189
510114;2;Ivan;Šaško;Ing.;76;primátor;001;2279
510149;1;Daniela;Fejová;Mgr. et Mgr., MBA, L.L.M;58;psychologička;136;297
510149;2;Katarína;Kubinová;Mgr.;46;pedagogická pracovníčka;139;63
510149;3;Peter;Škombár;;45;vodič;001;77
510157;1;Mário;Bugan;PhDr.;40;podnikateľ;001;79
510157;2;Michal;Hrkeľ;;40;podnikateľ;001;284
510157;3;Pavol;Hvoľka;;43;živnostník;125;91
510157;4;Karol;Pjentek;Ing.;48;zamestnanec v štátnej službe;001;336
510165;1;Daniel;Laura;Ing.;59;starosta obce;001;503
510173;1;Jana;Dreveňáková;Ing.;47;stredoškolská učiteľka a podnikateľka;111;73
510173;2;Dušan;Kovaľák;Mgr.;48;inštruktor autoškoly;001;243
510173;3;Dušan;Ondrík;;53;starosta obce;001;168
510173;4;Kamil;Pafčo;;49;referent dopravy;001;62
510173;5;Martin;Ťapaj;;44;SZČO;132;162
510181;1;Michal;Balko;Ing. et. Ing.;37;vedúci prevádzky;001;192
510181;2;Anna;Frančáková Gluchová;Mgr.;37;prevádzkarka v lyžiarskom stredisku;001;148
510181;3;Miroslav;Meško;;47;výsluhový dôchodca;001;85
510190;1;Ján;Banovčan;Ing.;61;stredoškolský učiteľ;001;314
510190;2;Lívia;Chreneková;Mgr.;47;opatrovateľka;111;54
510203;1;Peter;Durčák;Ing.;58;konateľ spoločnosti;001;556
510203;2;Marián;Iglár;;60;invalidný dôchodca;106;9
510203;3;Peter;Klimčík;Mgr.;38;starosta;001;1692
510203;4;Martin;Oleš;Ing.;40;strojný inžinier;152;44
510211;1;Michael;Bennett;;46;podnikateľ;106;76
510211;2;Anton;Hakáč;Mgr.;61;invalidný dôchodca;125;12
510211;3;Radoslav;Kubiš;;43;automechanik;116;38
510211;4;Matúš;Mních;JUDr.;60;starosta;136;946
510238;1;Lukáš;Gejdoš;;33;čašník - barman;125;14
510238;2;Pavol;Šroba;Mgr.;42;odborný referent obce;001;845
510238;3;Pavol;Šuriňák;;45;podnikateľ;001;254
510246;1;Pavol;Bugeľ;;57;starosta;001;429
510246;2;Lukáš;Remeš;;30;skladník;001;585
510254;1;Anton;Nemček;Ing.;44;manažér;001;429
510254;2;Milan;Pavlovčík;;50;starosta obce;141;428
510262;1;Ján;Blcháč;Ing., PhD.;63;primátor;106,136;4587
510262;2;Lucia;Cukerová;Ing.;45;ekonómka;001;1070
510262;3;Ján;Laco;;40;podnikateľ;001;4530
510262;4;Tomáš;Martaus;JUDr.;31;právnik;001;1060
510271;1;Ivana;Göcsová;;54;policajtka;001;22
510271;2;Ján;Martinovič;;63;starosta;001;234
510271;3;Sylvia;Perašínová;;47;živnostníčka;001;24
510301;1;Martin;Baran;Ing.;48;starosta;001;292
510319;1;Ján;Chebeň;;52;zamestnanec dozornej a strážnej služby;001;31
510319;2;Jana;Košová;;61;živnostníčka;001;67
510319;3;Ján;Vraštiak;;45;vodič;001;5
510327;1;Ivana;Ďurecová;Ing. arch.;43;referentka investičnej výstavby;001;77
510327;2;Miroslav;Lisý;;54;vedúci medzinárodnej dopravy;001;253
510327;3;Ladislav;Sedlák;Ing., PhD.;66;starosta;111;602
510335;1;Jana;Bažíková;Mgr.;40;vedúca predaja;001;49
510335;2;Peter;Kocúr;;48;dopravný námestník;125;37
510351;1;Monika;Bukovinská;Bc.;46;úradníčka;132;0
510351;2;Viera;Maršalková;;46;starostka;136;29
510351;3;Mária;Teniaková;;48;banková manažérka;106;36
510386;1;Richard;Bros;;52;zástupca starostky obce;001;133
510386;2;Vlastislav;Čabo;Ing., Mgr. et Mgr., PhD., MA;41;SZČO;118;71
510386;3;Richard;Ortutay;Ing.;52;marketingový riaditeľ;001;38
510408;1;Vladimír;Janičina;;55;starosta obce;001;415
510416;1;Miroslav;Kubáň;;56;starosta;001;107
510424;1;Andrea;Adamčiaková;Mgr.;36;pomocná pracovníčka v lekárni;001;174
510424;2;Štefan;Andráš;;48;údržbár;106;16
510424;3;Daniela;Čerevková;Ing.;46;poradkyňa senior;001;45
510424;4;Miroslav;Zelený;Ing.;62;výsluhový dôchodca;125;22
510441;1;Stanislav;Nechaj;Ing.;59;starosta;001;323
510459;1;Vladimír;Butora;Ing., Dr.;74;penzista;111;51
510459;2;Juraj;Staš;;42;starosta;136;54
510467;1;Karol;Pavlíček;Ing.;57;starosta;001;622
510467;2;Martin;Piovarči;;60;podnikateľ;136,106;179
510505;1;Michal;Uličný;;42;SZČO;106;109
510505;2;Milan;Zuzaniak;Ing.;59;starosta obce;001;127
510513;1;Ján;Matloň;;53;starosta obce;116;131
510513;2;Štefan;Mojžiš;Bc.;29;nezamestnaný;001;30
510521;1;Pavel;Ďuriš;;46;živnostník;116;51
510521;2;Alena;Vlčková;Ing.;38;starostka obce;001;150
510530;1;Adrián;Loffaj;;48;vojak vo výslužbe;105;6
510530;2;Juraj;Markovič;Ing.;36;projektant elektro;001;205
510530;3;Štefan;Novák;;41;strojník;001;56
510548;1;Otto;Brtko;Mgr.;60;starosta;001;428
510548;2;Anna;Daudová;Mgr.;46;sociálna pedagogička;001;338
510548;3;Radomír;Drobúl;;38;mechanik;001;44
510564;1;Matej;Lehotský;;56;vedúci výroby;001;127
510564;2;Tomáš;Piovarči;Mgr.;38;štátny zamestnanec;106;10
510564;3;Erika;Šteučeková;Mgr.;48;samostatná odborná referentka;001;212
510572;1;Jozef;Grúň;;55;starosta obce;001;174
510581;1;Jana;Glajzová;Mgr.;52;samostatná odborná referentka;001;177
510581;2;Katarína;Osadská;Ing.;46;ekonómka;136;49
510599;1;Jozef;Hykel;;43;pomocný dispečer;001;265
510599;2;Marián;Javorka;Ing.;52;starosta obce;111;733
510599;3;Adrián;Solár;;45;vedúci sekcie skladov;001;331
510602;1;Ivan;Bella;;64;živnostník;001;51
510602;2;Katarína;Ivanovská;Ing.;36;projektová manažérka;001;31
510611;1;Marian;Belopotocký;Mgr.;43;špeciálny pedagóg;001;109
510611;2;Radovan;Fronko;;44;dispečer v MKD;111;137
510611;3;Ján;Kollár;Mgr.;38;učiteľ;001;161
510611;4;Dana;Porubänová;;51;ekonómka;106;25
510611;5;Jana;Strnisková;;57;manažérka správy budov;001;48
510629;1;Albín;Husarčík;Ing.;62;starosta;136,106,132;741
510629;2;Branislav;Serafín;;39;SZČO;001;83
510629;3;Jozef;Voštenák;;46;konateľ spoločnosti;117,118,152,135,111;423
510637;1;Róbert;Kuzma;Ing.;53;starosta obce;001;663
510637;2;Jana;Vlniešková;Ing.;43;manažérka pre inžiniersku činnosť, hlavná kontrolórka obce;001;121
510653;1;Igor;Guráň;;59;starosta;136;132
510653;2;Tomáš;Halahija;;40;SZČO;001;130
510653;3;Peter;Rakučák;;48;živnostník;132;76
510661;1;Katarína;Bachanová;;47;ekonómka;001;161
510661;2;Dušan;Dírer;RNDr.;59;stredoškolský učiteľ;001;214
510661;3;Marek;Jadroň;;36;zamestnanec obce;106;17
510661;4;Ľubomír;Janči;Mgr.;50;SZČO;001;62
510661;5;Oto;Omasta;;44;telefónny operátor;116;7
510661;6;Marek;Pavlík;;30;podnikateľ;001;133
510661;7;Ľuboš;Synak;Bc.;45;manažér hotela;001;28
510661;8;Tomáš;Šida;;49;SZČO;001;20
510670;1;Milan;Kašák;;57;starosta obce;111,132;437
510688;1;Anna;Pruknerová;;69;dôchodkyňa;001;24
510696;1;Ján ;Hollý;Ing.;54;polygraf;001;139
510700;1;Erika;Gajanová;;47;asistentka predaja;001;57
510700;2;Ján;Jaňák;;55;starosta;001;88
510700;3;Lucia;Zelená;;28;manažérka-II asistentka;001;29
510718;1;Jana;Šimová;Mgr.;44;starostka;001;559
510726;1;Branislav;Tréger;Mgr., PhD.;60;primátor mesta;001;2177
510734;1;Dušan;Čurný;;45;podnikateľ;136;30
510734;2;Peter;Dubjel;Ing.;54;výsluhový dôchodca;001;79
510734;3;Roman;Vajs;;47;podnikateľ;001;276
510734;4;Ján;Vyšňan;Ing.;52;živnostník;132;80
510742;1;Martin;Adamčiak;;57;živnostník;001;95
510742;2;Vojtech;Jánoš;;50;konateľ spoločnosti;106;61
510751;1;Gabriela;Budajová;;52;administratívna pracovníčka;001;48
510751;2;Andrea;Lesáková;;43;účtovníčka, ekonómka;001;44
510751;3;Andrea;Mlynarčíková;Mgr.;45;referentka právnych služieb;001;14
510751;4;Ľuboš;Žubor;;62;horizontkár, ekonóm;001;258
510777;1;Peter;Bulla;Mgr.;72;dôchodca;116;30
510777;2;Ľubomír;Hollý;Ing.;54;technicko - hospodársky pracovník;111;190
510777;3;Katarína;Petriková;;39;nákupkyňa;001;70
510777;4;Vladimír;Zubek;Ing.;44;projektant;125;31
510785;1;Jozef;Demko;;33;manažér realizácie;001;162
510785;2;Pavol;Kubala;;55;analytik dopravy;001;232
510785;3;Pavol;Mojš;;56;výsluhový dôchodca;136;39
510785;4;Alena;Mydliarová;Mgr.;53;poradkyňa;001;319
510785;5;Miroslav;Zigo;;50;živnostník;132;31
510785;6;Marián;Žúbor;Ing.;33;autorizovaný bezpečnostný technik a technik požiarnej ochrany;001;247
510793;1;Erik;Gemzický;Ing., PhD., MBA;40;starosta obce;106;468
510807;1;Peter;Dávidík;Ing.;52;starosta obce;001;291
510815;1;Branislav;Hrbček;;50;starosta;132,111;416
510823;1;Peter;Slimák;;40;starosta obce;001;293
510831;1;Katarína;Kováčová;Mgr.;41;živnostníčka;001;46
510831;2;Jaroslav;Podhorány;Ing.;52;starosta obce;001;93
510840;1;Martin;Baranec;;54;stavebný majster;132;32
510858;1;Štefan;Firášek;;60;SZČO;111;53
510858;2;Břetislav;Chytil;Ing.;56;starosta;001;93
510858;3;Marián;Vernarec;;52;zamestnanec vo verejnej správe;001;5
510866;1;Juraj;Bobek;;57;starosta;132;139
510866;2;Gabriela;Kohútová;Bc.;56;učiteľka;001;18
510866;3;Eva;Mračková;Ing.;56;obchodná manažérka;001;108
510874;1;Silvia;Skusilová;Mgr.;48;starostka obce;001;70
510904;1;Ladislav;Balážec;Bc.;40;starosta obce;001;392
510904;2;Dana;Havlanová;Bc.;53;personalistka, účtovníčka;001;200
510904;3;Juraj;Záchej;;52;dôchodca;001;93
510912;1;Peter;Pethö;Mgr.;35;pracovník v cestovnom ruchu;001;148
510921;1;Daniel;Bacúr;;36;konateľ spoločnosti;001;59
510921;2;Jaroslav;Rády;;55;živnostník;001;32
510921;3;Zuzana;Staroňová Vallová;Bc.;34;hypotekárna poradkyňa;001;4
510921;4;Drahomír;Vallo;;46;podnikateľ;106;34
510947;1;Tomáš;Hvostik;PaedDr., PhD.;41;projektový špecialista - senior manager;001;192
510947;2;Ivona;Vejová;Bc.;47;riaditeľka hotela;136,106;233
510947;3;Radoslav;Vojtík;Mgr.;47;hotelový manažér;001;143
510955;1;Albín;Bella;;63;dôchodca;111;17
510955;2;Katarína;Machová;;59;starostka;136;51
510963;1;Milan;Kohút;Ing.;60;starosta;106;164
510963;2;Daniel;Pokrievka;;40;živnostník;132;346
510971;1;Peter;Hamráček;Mgr.;50;starosta;136;60
